name,rating,lama_pemakaian,date,review,source
aurell archi,5,Less than 1 Week,2024-07-10T16:17:21.414Z,"sumpah ini bagus banget sihh, mustt have!! stain nya juara bangett, warnanya super cantik banget terus ringan di bibir, bikin tampilan bibir setelah di aplikasi in lebih cantik, bibir tuh jadi kelihatan lebih sehat lebih pink dan ini termasuk ringan di bibir nggak berat sama sekali harga juga terjangkau!! pokoknya wajib punya dehhh!!",review-android
ria soco,5,1 Week - 1 Month,2024-07-10T06:16:01.871Z,"sumpah ini bagus bgt sihh, mustt have!! stainnya juara bgt, shadenya juga bagus bagus bgt. Aku beli yang burn pomelo bagus bgt next aku harus cobain semua shadenyaa",review-android
chandra puspita,5,Less than 1 Week,2024-07-10T06:07:16.038Z,aku punya warna 02 sama 06 tapi yang 02 ini cantik banget di bibir. bibir tuh jadi kelihatan lebih sehat lebih pink dan ini termasuk ringan di bibir nggak berat sama sekali harga juga terjangkau.,review-android
chandra puspita,5,Less than 1 Week,2024-07-10T06:05:31.164Z,warnanya super cantik banget terus ringan di bibir harganya juga masih terjangkau menurut aku. dan ini tuh bikin tampilan bibir setelah di aplikasiin lebih cantik. kayaknya aku mau coba di warna 01 atau di 04 nya,review-android
Devita Azh,5,Less than 1 Week,2024-07-09T14:14:26.282Z,"first impression aku adalahhh packagingnya lucu bangett💗💗 shade 03 on point banget untuk kulit aku yang putihnya pucatt,, mungkin klo yg bibirnya two tone bisa pake concealer untuk based.",review-ios
cally cally,5,Less than 1 Week,2024-07-09T04:13:13.438Z,neutral undertone girlies harus notice shade ini sama shade 05 karena emg sebagus itu mulai dari stainnya warnanya dll dah pokoknya harganya juga worth it dengan kelebihannya yang oke bgt,review-android
Rina Purri,5,1 Week - 1 Month,2024-07-08T15:07:40.776Z,"Love hate sih sama product ini, untuk tekstur enak dan bagusssss tapi sayang nya juga kurang cocok aja di bibir hitam, padahal aku suka banget, tapi kalo buat ombre cakep",review-ios
cally cally,5,Less than 1 Week,2024-07-08T14:32:41.243Z,"BRAND FAV GUE INIMAH DAN JUGA MY LOVE, SUMPILL INI BARU LAUNCH TAPI KEK BAGUS BGT DARI STAINNYA, TINT NYA, SHADE RANGE NYA, PACKAGINGNYA POKOKNYA MUAAHH DEH BUAT BNB!",review-android
Eni Lie,4.8,Less than 1 Week,2024-07-08T11:40:49.108Z,"baru pertama kali coba yang series lip tint, sebelumnya pakai nya yang lip tint yang make perfect.. untuk awet seperti sama seperti yang lainnya, gampang luntur kalo makan n minum tapi overall cepat kering n transfer proof",review-android
Patricia Vinipatika,5,1 Week - 1 Month,2024-07-08T07:32:54.506Z,"bagus banget kayak lipgloss x liptint, wangi, lumayan tahan lama (harus reapply) aku langgannan lip produk barenbliss selalu sebagus itu, bakal repurchase sih",review-ios
Caterine Evrina,4.4,1 - 3 Months,2024-07-07T15:03:37.070Z,ini bagus sih sumpa cuman ya apa yg bisa diharepin dr lip tint pasti ya kurang tahan lama cuman dia moist banget dan ga crack samsek di bibir super hydrated sih sukak,review-ios
Ayuna putri,4.8,1 - 3 Months,2024-07-07T08:28:05.887Z,"Definisi Cantik!! karena memang sebagus itu.., apalagi packaging nya yg super elegan and pretty. bukan cuman itu aja, even warna nya memang secakep itu dan glossy plus ga bikin bibir jdi kering. walaupun dipake makan bar-bar tetep masih ada sisa warna nya, wajib punya sih..💋💅🏻",review-android
karen soco,4.2,1 Week - 1 Month,2024-07-07T06:27:54.017Z,i udh coba pake ini stainnya juara bikin bibir glowing dan glossy gt. ga transferproof pakenya hrs nunggu 20 detik biar glossynya ngeset. aku cinta bgt sama produk bnb,review-android
Analisa Saragih,4.8,1 Week - 1 Month,2024-07-07T02:29:59.514Z,Barenbliss ga pernah absen untuk meracuni aku dengan lip produk mereka yang mantul sekali. Aku suka sekali dengan lip product yang kasih glow finish dan mereka deliver ini dengan baik.,review-ios
cinthya putri,5,Less than 1 Week,2024-07-06T15:24:27.474Z,"Bagus banget, lebih glossy dari pada yang first liptintnya. karena lewat terus difyp tiktok jadi teracuni buat beli, love banget pokoknya sama BNB luv",review-ios
R Rani,5,Less than 1 Week,2024-07-06T12:42:43.195Z,Glow tint dengan efek melembapkan dan stain ringan bercahaya selama 12 jam untuk tampilan bibir sehat dan berkilau. Bagus dehh dan warnanya cantik nutup vibie gelp,review-ios
kirana prahmianti,5,Less than 1 Week,2024-07-06T07:28:25.330Z,"Banyak banget review nya disosmed jadi pengen nyobain dan warna nya cantik-cantik jadi makin pengen koleksi lip tint ini, karna kebanyakan liptint ku warna merah dan nude aku pilih warna rose ini karna pink nya soft gtu kayanya cocok buat make up no make up look gtuh",review-ios
Nabila Putri,4.8,Less than 1 Week,2024-07-06T05:22:12.689Z,warnanya cantik banget jadi lumayan natural hasilnya. teksturenya juga soft tidak terlalu kental dan tidak terlalu cair. bikin bibir gak terlalu kering,review-android
septa aurelia,4.8,Less than 1 Week,2024-07-06T05:18:55.630Z,baru coba dan emang nyari nyari banget setelah launching udah penasaran bangt dan pas di pakai beneran rasanya lembut dan lembab ga bikin bibir kering walaupun di pakai lama sumpahh worth it bangey,review-ios
ayu a,4.8,Less than 1 Week,2024-07-05T13:44:14.415Z,"Warnanya bener2 cantik dan juga bikin lembab bibir, trus packagingnya jga lucu bgttt, semua produk bibir bnb emang bagus semua sihh, dan warnanya cakep2 smua",review-ios
Angelica Sociolla,4.8,Less than 1 Week,2024-07-05T06:10:10.610Z,"i really love the pretty packaging & shades, i also love the texture, i just really love everything about this product, and will repurchase someday :)",review-ios
Devina Anisah,5,Less than 1 Week,2024-07-04T14:29:13.061Z,"Bagus banget benerann awal apply dibibir warnanya ga terlalu keliatan lebih ke warna bibir natural lama
Lama makin keliatan baguss bgtt dan stainnya juga lumayan nempel ",review-ios
keylla desya,4.4,Less than 1 Week,2024-07-02T07:06:25.886Z,"packaging nya bagus, terkesan mewah dan lucu. warna nya jg bagus bagus dan cocok banget dipake buat daily dan bagus di pake buat ombre lips ataupun satu shade aja",review-android
Veela Renata,4.4,Less than 1 Week,2024-07-01T13:39:07.638Z,baguss bangetttt butuh perjuangan buat check out shade yang satu ini karena emang beneran bagus definisi my lies but betterrr tapi yaa namanya juga lip glow/tint pasti ga bakal yg tahan lama banget tapi oke lah buat sehari hari mah,review-android
